pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.6793.1	56	164	209.75	0.000156048408446	0.000456998910448	0.00058448488699
PB.6801.2	0	1	1.5	0.0	2.78657872224e-06	4.17986808336e-06
PB.428.1	29	52	62.5	8.0810782945e-05	0.000144902093557	0.00017416117014
PB.428.2	1	1	11.5	2.78657872224e-06	2.78657872224e-06	3.20456553058e-05
PB.2559.1	11	13	19.9166666667	3.06523659447e-05	3.62255233891e-05	5.54993595513e-05
PB.7725.1	1	4	4	2.78657872224e-06	1.1146314889e-05	1.1146314889e-05
PB.5794.8	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.6078.17	0	0	0.583333333333	0.0	0.0	1.62550425464e-06
PB.2379.1	3	7	7	8.35973616673e-06	1.95060510557e-05	1.95060510557e-05
PB.6408.4	0	0	4.41666666667	0.0	0.0	1.23073893566e-05
PB.6408.1	2	31	40.9166666667	5.57315744448e-06	8.63839403895e-05	0.000114017512718
PB.6408.3	5	5	11.25	1.39328936112e-05	1.39328936112e-05	3.13490106252e-05
PB.6408.2	0	0	5.08333333333	0.0	0.0	1.41651085047e-05
PB.3228.2	1	4	4	2.78657872224e-06	1.1146314889e-05	1.1146314889e-05
PB.5159.1	0	0	4.25	0.0	0.0	1.18429595695e-05
PB.7026.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.1519.3	0	0	2.18333333333	0.0	0.0	6.08403021023e-06
PB.3285.1	8	12	12	2.22926297779e-05	3.34389446669e-05	3.34389446669e-05
PB.6239.1	4	5	5	1.1146314889e-05	1.39328936112e-05	1.39328936112e-05
PB.3683.1	1	5	5	2.78657872224e-06	1.39328936112e-05	1.39328936112e-05
PB.1519.4	1	6	6	2.78657872224e-06	1.67194723335e-05	1.67194723335e-05
PB.6892.1	2	4	8.66666666667	5.57315744448e-06	1.1146314889e-05	2.41503489261e-05
PB.6892.2	2	3	5.66666666667	5.57315744448e-06	8.35973616673e-06	1.57906127594e-05
PB.6892.3	7	7	10.6666666667	1.95060510557e-05	1.95060510557e-05	2.97235063706e-05
PB.4186.8	0	0	5.25952380952	0.0	0.0	1.46560771367e-05
PB.4186.9	1	1	1.39285714286	2.78657872224e-06	2.78657872224e-06	3.88130607741e-06
PB.1563.1	0	0	1.2	0.0	0.0	3.34389446669e-06
PB.4186.4	0	0	3.20952380952	0.0	0.0	8.94359075615e-06
PB.4186.5	0	6	9.80952380952	0.0	1.67194723335e-05	2.73350103229e-05
PB.4186.6	1	1	1	2.78657872224e-06	2.78657872224e-06	2.78657872224e-06
PB.4186.7	1	1	2.78333333333	2.78657872224e-06	2.78657872224e-06	7.75597744357e-06
PB.4878.2	0	3	3.5	0.0	8.35973616673e-06	9.75302552785e-06
PB.4186.1	23	25	35.5428571429	6.40913106116e-05	6.96644680561e-05	9.9042969442e-05
PB.4186.2	7	8	15.4595238095	1.95060510557e-05	2.22926297779e-05	4.30791801036e-05
PB.2544.1	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.3593.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.3252.5	9	14	18.5166666667	2.50792085002e-05	3.90121021114e-05	5.15981493402e-05
PB.979.2	73	74	85.6	0.000203420246724	0.000206206825446	0.000238531138624
PB.979.1	6	6	16.35	1.67194723335e-05	1.67194723335e-05	4.55605621087e-05
PB.3252.6	3	5	9.08333333333	8.35973616673e-06	1.39328936112e-05	2.53114233937e-05
PB.3252.1	6	13	19.6	1.67194723335e-05	3.62255233891e-05	5.46169429559e-05
PB.276.1	2	2	2	5.57315744448e-06	5.57315744448e-06	5.57315744448e-06
PB.3252.3	4	4	9.9	1.1146314889e-05	1.1146314889e-05	2.75871293502e-05
PB.3252.2	34	54	62.6833333333	9.47436765562e-05	0.000150475251001	0.000174672042906
PB.3611.2	6	10	15.6666666667	1.67194723335e-05	2.78657872224e-05	4.36563999818e-05
PB.737.2	11	16	18.3333333333	3.06523659447e-05	4.45852595559e-05	5.10872765744e-05
PB.4162.4	6	12	19.3166666667	1.67194723335e-05	3.34389446669e-05	5.3827412318e-05
PB.3611.1	0	1	3.66666666667	0.0	2.78657872224e-06	1.02174553149e-05
PB.4162.2	0	0	3.76666666667	0.0	0.0	1.04961131871e-05
PB.4162.3	1	2	7.3	2.78657872224e-06	5.57315744448e-06	2.03420246724e-05
PB.3611.4	0	0	4.0	0.0	0.0	1.1146314889e-05
PB.4162.1	27	33	45.9666666667	7.52376255005e-05	9.1957097834e-05	0.000128089735266
PB.5916.12	1	2	5.15277777778	2.78657872224e-06	5.57315744448e-06	1.4358620916e-05
PB.5916.13	0	0	0.602777777778	0.0	0.0	1.6796877298e-06
PB.5916.10	5	5	7.80674603175	1.39328936112e-05	1.39328936112e-05	2.1754112382e-05
PB.5916.11	1	1	2.9	2.78657872224e-06	2.78657872224e-06	8.0810782945e-06
PB.5916.14	1	1	3.275	2.78657872224e-06	2.78657872224e-06	9.12604531534e-06
PB.5916.15	0	3	3	0.0	8.35973616673e-06	8.35973616673e-06
PB.2210.1	0	7	9.0	0.0	1.95060510557e-05	2.50792085002e-05
PB.2210.3	0	0	1.0	0.0	0.0	2.78657872224e-06
PB.2210.4	0	0	1.0	0.0	0.0	2.78657872224e-06
PB.4943.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.1386.1	2	6	6	5.57315744448e-06	1.67194723335e-05	1.67194723335e-05
PB.4474.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.1921.2	0	1	2.0	0.0	2.78657872224e-06	5.57315744448e-06
PB.4581.1	0	0	1.0	0.0	0.0	2.78657872224e-06
PB.1921.1	3	9	10.0	8.35973616673e-06	2.50792085002e-05	2.78657872224e-05
PB.2188.1	0	4	6.5	0.0	1.1146314889e-05	1.81127616946e-05
PB.2612.6	0	0	0.767857142857	0.0	0.0	2.13969437601e-06
PB.3669.4	0	0	4.16666666667	0.0	0.0	1.1610744676e-05
PB.3619.9	1	2	3.40681818182	2.78657872224e-06	5.57315744448e-06	9.493367056e-06
PB.1814.1	0	0	0.833333333333	0.0	0.0	2.3221489352e-06
PB.3619.2	0	0	2.08181818182	0.0	0.0	5.80115024903e-06
PB.3619.3	2	2	4.44015151515	5.57315744448e-06	5.57315744448e-06	1.23728317357e-05
PB.3619.1	2	7	9.41515151515	5.57315744448e-06	1.95060510557e-05	2.62360608788e-05
PB.3619.6	0	0	0.357575757576	0.0	0.0	9.9641299765e-07
PB.5026.1	13	19	19	3.62255233891e-05	5.29449957226e-05	5.29449957226e-05
PB.3619.4	0	0	0.2	0.0	0.0	5.57315744448e-07
PB.3619.5	0	0	0.506818181818	0.0	0.0	1.4122887615e-06
PB.1165.1	0	0	1.66666666667	0.0	0.0	4.6442978704e-06
PB.2579.1	12	30	32.75	3.34389446669e-05	8.35973616673e-05	9.12604531534e-05
PB.2579.2	0	0	2.5	0.0	0.0	6.96644680561e-06
PB.4661.2	0	0	4.0	0.0	0.0	1.1146314889e-05
PB.4661.1	12	29	33.0	3.34389446669e-05	8.0810782945e-05	9.1957097834e-05
PB.1039.1	1	1	3.25	2.78657872224e-06	2.78657872224e-06	9.05638084729e-06
PB.1039.2	0	0	2.7	0.0	0.0	7.52376255005e-06
PB.1039.3	0	0	1.95	0.0	0.0	5.43382850837e-06
PB.1039.4	8	9	13.95	2.22926297779e-05	2.50792085002e-05	3.88727731753e-05
PB.1039.5	1	1	2.5	2.78657872224e-06	2.78657872224e-06	6.96644680561e-06
