NSC	NSC	OLD	OLD
PB.6806.1	438	44	62	71
PB.6807.1	4884	1166	1991	1666
PB.6808.1	1912.62	1192.56	1380.55	1235.25
PB.6808.2	586.25	286.56	311.73	266.05
PB.6808.3	5386.13	2996.88	3336.73	2965.7
PB.6809.1	925	731	741	711
PB.681.1	15218	3703	23044	19423
PB.6810.1	3992.31	3160.54	4527.34	4259.31
PB.6810.2	56.49	138.46	52.22	55.45
PB.6810.3	678.21	419.01	323.45	325.24
PB.6811.1	1337	699	525.03	493
PB.6812.1	126	43	58	31
PB.6813.1	854.7	459.63	376.9	354.86
PB.6813.2	600.5	291.05	331.22	347.23
PB.6814.1	57.23	26.28	50.56	57.59
PB.6814.2	111.98	86.23	99.62	90.8
PB.6814.3	194.29	59.7	152.7	169.47
PB.6814.4	1088.15	645.99	740.37	690.03
PB.6814.5	1887.11	1408.83	1241.21	1028.55
PB.6814.6	24.45	66.47	41.72	39.95
PB.6815.1	1809.12	1682.56	1209.89	1023.15
PB.6815.2	15.3	4.23	30.08	63.25
PB.6816.1	670.58	589.98	428.8	407.85
PB.6816.2	2986.42	1779.02	971.2	998.15
PB.6817.1	282.87	245.95	166.23	204.33
PB.6818.1	812.22	585.52	372.1	383.83
PB.6818.2	492.78	285.48	322.9	224.17
PB.6819.1	498.51	160.7	296.05	201.81
PB.6819.2	2726.49	2204.3	2662.95	2215.19
PB.682.1	1156.75	403.79	604.88	495.23
PB.682.2	3982.25	1683.21	3290.12	3075.78
PB.6820.1	0.05	0.04	0.04	0.02
PB.6821.1	284783.97	167063.98	108148.98	116533.99
PB.6822.1	1958	1514	2143	2180
PB.6823.1	1669.75	698	826.63	455.56
PB.6823.2	403.59	156.95	192.46	224.01
PB.6823.3	2788.67	1566.05	3226.9	2674.43
PB.6824.1	15.17	11.26	19.28	8.47
PB.6824.2	781.17	538.78	383.13	335.93
PB.6824.3	2977.48	1659.92	868	751.2
PB.6824.4	446.18	349.03	140.59	261.41
PB.6825.1	111.44	82.34	20.85	26.28
PB.6825.2	4856.14	2836.82	1757.56	1624.69
PB.6825.3	11.43	8.84	19.59	16.03
PB.6826.1	34391.76	19544.94	19843.79	21631
PB.6826.2	162.46	89.63	36.18	36.59
PB.6826.3	1703.9	715.92	958.45	1104.82
PB.6826.4	1399.88	589.51	528.59	334.6
PB.6827.1	922.3	423.67	1773.61	1694.31
PB.6827.2	182.16	147.52	134.74	71.79
PB.6827.3	170.54	27.82	228.65	59.9
PB.6828.1	11	10	692	823
PB.6829.1	7337	2922	4281	4042
PB.683.1	1121	826	821	603
PB.6830.1	1534	1029	1446	1398
PB.6831.1	227.9	72.7	94.99	74.75
PB.6831.2	2411.41	1746.72	2295.66	2157.71
PB.6831.3	73.75	48.9	65.49	70.52
PB.6831.4	538.94	238.69	432.86	303.01
PB.6832.1	10876.08	13405.96	6313.55	5933.13
PB.6833.1	1.83	3.58	9.85	8.97
PB.6833.2	663.09	1301.46	2193.6	2530.89
PB.6834.1	192.83	62.1	304.96	101.57
PB.6834.2	1221.17	651.9	719.04	788.43
PB.6835.1	3346	1950	929	867
PB.6836.1	1777.34	1003.61	1159.21	1034.08
PB.6836.2	21.66	33.39	35.79	28.93
PB.6837.1	133.79	58.97	282.08	113.85
PB.6837.2	141.81	114.94	189.69	73.34
PB.6837.3	648.69	224.28	999.38	571.75
PB.6837.4	278.05	226.88	515.65	352.45
PB.6837.5	290.18	98.11	375.92	350.91
PB.6837.6	38.58	21.18	18.46	10.1
PB.6837.7	75.33	113.92	91	83.03
PB.6837.8	2193.09	1480.24	2119.89	2178.02
PB.6837.9	1477.48	757.49	1036.92	1137.56
PB.6838.1	2523	1624	1227	1199
PB.6839.1	399.87	194.25	332.63	224.49
PB.6839.2	110.1	95.47	79.87	150.09
PB.6839.3	19.29	14.43	22.49	21.54
PB.6839.4	219.3	151.24	51.61	33.03
PB.684.1	64.32	41.76	115.79	66.95
PB.684.2	472.13	285.22	317.21	285.72
PB.684.3	672.24	639.48	659.49	610.09
PB.684.4	4.32	2.54	1.51	0.24
PB.6840.1	112.36	188.16	457.04	236.52
PB.6840.2	2533.39	1606.24	1268.49	1134.9
PB.6840.3	1419.86	874.28	669.26	754.26
PB.6841.1	112.46	153.58	39.43	41.73
PB.6841.2	70.09	199.68	151.14	105.44
PB.6841.3	134.52	193.97	25.94	13.45
PB.6841.4	516.93	247.77	50.5	61.38
PB.6842.1	11.04	9.03	530.17	550.44
PB.6843.1	16549.19	11315.14	5188.32	4131.57
PB.6843.2	1112.6	1247.9	150.74	430.02
PB.6844.1	13845	8717	8289	7997
PB.6845.1	1469.01	908.54	130.85	259
PB.6845.2	2910.78	2527.32	4791.83	4536.61
PB.6845.3	202.8	77.79	228.71	110.54
PB.6845.4	4039.29	3724.24	4922.56	4758.11
PB.6846.1	998.72	516.53	590.87	377.39
PB.6846.2	23444.12	15032.93	7841.19	8569.98
PB.6846.3	251.9	275.36	99.49	46.03
PB.6846.4	5064.26	2807.18	1008.46	396.6
PB.6847.1	2108.24	1721.4	1164.1	1028.67
PB.6847.2	1462.98	796	949.62	893.6
PB.6847.3	1806.78	938.6	886.28	841.73
PB.6848.1	96.96	131.62	1061.6	1028.44
PB.6848.2	505.04	239.38	1216.4	1279.56
PB.6849.1	394.71	175.52	317.95	266.89
PB.6849.2	1647.45	799.84	991.69	1055.26
PB.6849.3	133.19	72.82	57.55	83.33
PB.6849.4	953.64	666.83	653.81	642.52
PB.685.1	19592.19	6754.19	37230.47	37436.77
PB.685.2	1550.81	587.81	1629.53	2573.23
PB.6850.1	10140.93	4626.44	6356.8	5699.22
PB.6850.2	8486.68	5109.39	5404.55	5325.89
PB.6850.3	2695.39	2342.17	2238.64	2354.89
PB.6851.1	5635	3246	9188	9937
PB.6852.1	1046	366	834	806
PB.6853.1	696	554	440	416
PB.6854.1	1918	827	602	512
PB.6855.1	139.58	145.41	143.33	175.73
PB.6856.1	10401.43	6468.77	83288.87	87852.14
PB.6856.2	21.57	21.23	201.13	196.86
PB.6857.1	9855.19	7301.4	648.51	579.52
PB.6857.2	3438.74	2607.46	231.74	179.6
PB.6857.3	6967.07	10885.14	218.75	269.87
PB.6858.1	76	85	177	131
PB.6859.1	1062.03	825.38	1232.98	1376.13
PB.6859.2	1905.97	1578.62	2974.02	1983.87
PB.686.1	22599.67	12038.05	7978.28	7844.12
PB.686.2	6555.74	2034.49	2549.73	1311.39
PB.686.3	51.2	85.78	41.17	46.43
PB.686.4	4369.4	2754.67	1621.82	2458.06
PB.6860.1	8257.52	5750.78	1322.82	1078.29
PB.6860.2	3534.8	1758.34	1626.01	1296.72
PB.6860.3	37.74	41.27	17.56	25.04
PB.6860.4	39.6	31.58	31.49	42.87
PB.6860.5	8977.28	8067.99	806.38	1150.59
PB.6861.1	298	240	142	130
PB.6862.1	1624.57	1078.19	210.2	195.94
PB.6862.2	3719.63	3529.29	1684.29	1609.4
PB.6862.3	11208.8	8274.52	2808.5	3276.66
PB.6863.1	320	385	139	127
PB.6864.1	617.51	392.75	719.93	799.13
PB.6864.2	279.49	80.25	218.07	166.87
PB.6865.1	646	437	683	573
PB.6866.1	652	481	222	213
PB.6867.1	19052	13006	9196	7527
PB.6868.1	2019.22	1803.76	768.26	728.12
PB.6868.2	6	6.01	5.81	4.54
PB.6868.3	486.78	321.23	74.93	94.34
PB.6869.1	67.53	93.05	183.89	53.14
PB.6869.2	2015.47	2015.95	698.11	756.86
PB.687.1	1878	968.12	2757.98	2125.29
PB.687.2	740	674.88	711.02	872.71
PB.6870.1	138	116	89	86
PB.6871.1	8968	4171	4131	3863
PB.6872.1	1812	1259	1245	1016
PB.6873.1	108.68	96.22	152.23	68.7
PB.6873.2	7563.32	4786.78	8071.77	7242.3
PB.6874.1	590.84	523	1015.6	847.74
PB.6874.2	1362.26	467.78	378.86	340.96
PB.6874.3	10722.36	11621.2	6953.84	7599.78
PB.6874.4	68757.52	41123.9	38147.25	42077.42
PB.6874.5	2990.02	658.12	650.45	487.11
PB.6875.1	1426	961	1118	1086
PB.6876.1	694	438	327	313
PB.6877.1	21739.85	16223.93	2594.83	2701.92
PB.6877.2	244.15	211.07	211.17	159.08
PB.6878.1	625.44	198.42	409.2	689.12
PB.6878.2	1827.57	708.78	1241.67	1158.02
PB.6878.3	423.76	59.61	461.95	110.83
PB.6878.4	1337.23	207.19	652.18	675.04
PB.6879.1	5203.35	4511.5	385.14	492.09
PB.6879.2	2174.65	1790.5	183.86	81.91
PB.688.1	8390	4394	6074	5820
PB.6880.1	143.76	310	177.92	268.23
PB.6880.2	1921.24	803	1324.08	1161.77
PB.6881.1	122.29	38.89	85.29	87.23
PB.6881.2	462.22	327.72	765.1	593.92
PB.6881.3	59.59	45.47	31.1	60.04
PB.6881.4	120.89	98.98	280.31	228.94
PB.6881.5	237.22	152.59	137.91	19.79
PB.6881.6	359.34	213.27	355.3	360.1
PB.6881.7	465.42	150.91	1268.65	1318.82
PB.6881.8	1421.03	1475.17	2031.34	2043.17
PB.6882.1	10066.09	5205.84	5832.59	5365.19
PB.6882.2	108.98	56.29	259.89	91.41
PB.6882.3	4521.23	1888.63	1608.3	1891.79
PB.6882.4	284.06	191.64	143.02	170.49
PB.6882.5	5068.64	2202.6	2097.2	2063.12
PB.6883.1	13493.53	8104.05	5892.51	8992.48
PB.6883.2	22833.15	15325.05	22911.47	18902.68
PB.6883.3	185.32	231.9	167.01	134.84
PB.6884.1	113.49	98.66	178.9	95.08
PB.6884.2	17154.51	10846.36	6333.38	6107.46
PB.6884.3	143	100.98	46.73	31.46
PB.6885.1	3236	2068	3594	3679
PB.6886.1	651.35	535.92	985.67	915
PB.6886.2	51.65	42.08	21.33	21
PB.6887.1	4610	2919	1720	1652
PB.6888.1	37500.69	24085.98	25234.14	25414.49
PB.6888.2	9556.37	4162.21	3715.72	3471.14
PB.6888.3	602.01	301.02	366.23	321.69
PB.6888.4	15990.94	12420.79	11982.91	14524.68
PB.6889.1	2521	1682	1731	1703
PB.689.1	946	1648	1928	1694
PB.6890.1	4167.32	2394.39	3180.49	2933.37
PB.6890.2	473.68	306.62	475.51	465.63
PB.6891.1	4036	2703	2418	2357
PB.6892.1	291.97	172.61	363.07	210.54
PB.6892.2	661.02	857.36	1486.14	1198.7
PB.6892.3	3178.01	2243.02	3924.78	5018.76
PB.6893.1	7472.83	7360.91	6424.91	6854.87
PB.6893.2	18236.07	10898.52	15258.15	12406.1
PB.6893.3	40.09	40.57	51.94	28.03
PB.6894.1	6846.32	5398.52	2405.66	2433.08
PB.6894.2	1817.93	1295.9	500.29	493.76
PB.6894.3	299.07	356.25	172.63	100.5
PB.6895.1	2037	1326	1207	970
PB.6896.1	310.53	320.48	101.52	119.89
PB.6896.2	1763.47	1775.53	915.48	841.11
PB.6897.1	8955.64	5845.85	6728.36	5793.36
PB.6897.2	346.36	109.15	576.63	418.64
PB.6898.1	1474.56	1550.71	442.3	396.06
PB.6898.2	15.44	4.29	6.71	1.94
PB.6899.1	1874	1078	2136	1899
PB.69.1	887	790	1467	1328
PB.690.1	998.35	419.8	3481.01	2396.39
PB.6900.1	2617.23	649.2	2880.02	2223.38
PB.6900.2	39.44	10.3	25.09	32.83
PB.6900.3	867.04	361.54	3246.66	1974.54
PB.6900.4	2179.33	1375.31	1900.58	1334.27
PB.6900.5	875.02	794.6	1345.8	2194.34
PB.6900.6	636.95	104.04	1679.86	2781.65
PB.6901.1	5002.3	2857.17	4413.32	4413.57
PB.6901.2	280.83	123.13	304.67	96.47
PB.6901.3	28.14	88.28	37.66	97.31
PB.6901.4	5304.73	3189.41	6780.34	5723.65
PB.6902.1	4145.98	2934.76	2828.09	2718.31
PB.6902.2	34.02	38.24	30.91	12.69
PB.6903.1	557.1	644.24	365.86	499.74
PB.6903.2	5608.9	4193.76	4284.15	3911.26
PB.6904.1	704.31	677.96	557.9	962.11
PB.6904.2	78.34	66.69	132.02	112.16
PB.6904.3	38.32	98.03	196.59	154.78
PB.6904.4	114.17	147.46	492.97	116.01
PB.6904.5	72.85	55.87	35.52	11.93
PB.6905.1	1257.72	1437.25	1233.44	1331.44
PB.6905.2	141.28	79.75	751.56	339.56
PB.6906.1	322.77	297.45	2547.89	3784.15
PB.6907.1	8	8	20	10
PB.6908.1	155	156	171	139
PB.6909.1	702.3	490.78	878.08	735.68
PB.691.1	95.45	51.35	464.38	399.04
PB.691.2	80.2	72.85	616.6	507.58
PB.6910.1	4127.4	3115.89	8167.5	8050.94
PB.6910.2	247.96	169.2	608.49	492.82
PB.6910.3	21.06	12.29	126.91	103.5
PB.6910.4	921.28	497.84	2514.02	2438.06
PB.6911.1	12033	7169	8348	7457
PB.6912.1	1386.73	1232.7	1629.8	1478.82
PB.6912.2	820.81	747.22	1452.96	1380.09
PB.6912.3	379.45	151.09	357.24	345.09
PB.6913.1	52.97	52.21	135.88	170.9
PB.6913.2	4176.04	2507.99	1702.84	1468.23
PB.6913.3	2851.99	893.8	966.28	884.87
PB.6914.1	624.99	517.88	511.87	483.7
PB.6914.2	1346.01	804.12	976.13	1002.3
PB.6915.1	1507	778	1641	1479
PB.6916.1	8858.5	6641.73	3740.44	3462.19
PB.6916.2	540.58	394.59	406	323.03
PB.6916.3	544.94	1016.29	85.13	106.69
PB.6916.4	768.55	1542.97	54.57	469.35
PB.6916.5	1539.11	622.16	1294.75	1239.58
PB.6916.6	242.32	114.27	274.12	206.16
PB.6917.1	2789	1953	2961	2901
PB.6918.1	3	1	4	0
PB.6919.1	83	35	87	58
PB.692.1	803.56	676.6	514.25	558.77
PB.692.2	7.44	13.4	125.75	130.23
PB.6920.1	161.03	64.16	128.39	90.92
PB.6920.2	7060.97	5083.84	5563.61	5317.08
PB.6921.1	1102	691	734	648
PB.6922.1	3035	2368	1583	1776
PB.6923.1	2828	1923	4209	3178
PB.6924.1	1129	775	1377	1212
PB.6925.1	10895.8	7434.3	5958.16	6144.5
PB.6925.2	711.2	672.7	521.84	589.5
PB.6926.1	10636.97	4241.05	10885.4	9674.91
PB.6926.2	505.03	192.95	337.6	233.09
PB.6927.1	13602.33	6654.93	5544.23	5851.2
PB.6927.2	6.67	7.07	6.77	6.8
PB.6928.1	856.77	381.35	627.93	429.85
PB.6928.2	21.39	30.71	12.65	7.14
PB.6928.3	18803.96	11389.04	12267.46	11904.62
PB.6928.4	29604.88	16949.9	5985.95	5070.39
PB.6929.1	2.52	2.1	675.23	625.19
PB.6929.2	2.48	1.9	746.77	526.81
PB.693.1	3087	2422	2648	2163
PB.6930.1	3431.27	1322.23	2668.15	3068.28
PB.6930.2	373.68	250.64	120.02	129.37
PB.6930.3	1279.03	512.78	587.38	558.48
PB.6930.4	420.28	162.76	282.73	325.09
PB.6930.5	2767.74	1775.59	1632.71	1108.78
PB.6931.1	206	169	74	82
PB.6932.1	3759.21	1778.75	1997.14	1881.86
PB.6932.2	121.79	80.25	146.86	112.14
PB.6933.1	3919	2176	707	644
PB.6934.1	6463.84	2484.57	2781.01	2544.8
PB.6934.2	6618.16	2807.43	3496.99	2769.2
PB.6935.1	17	5	309	287
PB.6936.1	60.73	48.66	25.14	103.29
PB.6936.2	14661.77	4772.34	17957.87	15666.85
PB.6937.1	2342.71	1729.93	727.08	825.42
PB.6937.2	4136.29	2662.07	1375.92	1560.58
PB.6938.1	1123	1104	1004	940
PB.6939.1	36728.65	19912.89	22540.67	20161.95
PB.6939.2	7276.35	3878.11	3800.33	4300.05
PB.694.1	1586	1058	530	436
PB.6940.1	3496.72	2695	4636.66	4357.3
PB.6941.1	980.72	485.2	305.77	222.43
PB.6942.1	144	115	70	75
PB.6943.1	2793.32	1927.88	1376.31	1069.03
PB.6943.2	452.02	362.75	1071.53	1178.23
PB.6943.3	82.66	23.37	25.16	56.75
PB.6944.1	464	395	274	265
PB.6945.1	2067.92	1245.03	2368.52	2355.17
PB.6945.2	4069.48	2969.76	5442.94	4437.6
PB.6945.3	22.25	27.66	12.97	28.62
PB.6945.4	1438.87	1412.46	378.04	338.14
PB.6945.5	477.81	275.78	756.5	631.53
PB.6945.6	318.68	145.31	259.02	173.95
PB.6946.1	585.87	243.83	120.36	221.21
PB.6946.2	217.94	178.88	36.62	38
PB.6946.3	4562.53	3478.58	3422.16	2858.04
PB.6946.4	251.66	188.7	230.86	115.75
PB.6947.1	5319	4042	3792	3978
PB.6948.1	442.44	455.45	389.97	362.11
PB.6948.2	51.33	122.67	144.62	58.03
PB.6948.3	585.88	409.81	457.6	344.93
PB.6948.4	421.5	376.77	302.25	407.64
PB.6948.5	247.85	424.31	222.56	145.7
PB.6949.1	523	406	759	649
PB.695.1	1204	807	1008	896
PB.6950.1	293	156	174	140
PB.6951.1	1971	1965	1811	1804
PB.6952.1	1951	1049	854	813
PB.6953.1	976.17	462.72	157.35	126.64
PB.6953.2	1379.83	1130.28	461.65	316.36
PB.6954.1	2319.34	2433.75	603.12	751.24
PB.6954.2	174.59	209.45	201.42	118.56
PB.6954.3	222.57	148.97	20.36	42.48
PB.6954.4	2997.45	1657.08	1606.79	1237.46
PB.6954.5	530.24	409.03	171.68	168.35
PB.6954.6	486.82	199.71	141.62	78.91
PB.6955.1	4451	1539	1974	2092
PB.6956.1	1983	1142	1506	1387
PB.6957.1	468.15	375.18	597.28	557.93
PB.6957.2	6117.85	4391.82	1761.72	1659.07
PB.6958.1	172.01	160	84	92
PB.6959.1	31949	21992	14134	13957
PB.696.1	1180	799	317	378
PB.6960.1	2651.26	1528.7	1941.08	1415.87
PB.6960.2	1358.29	854.96	422.05	557.37
PB.6960.3	1179.44	1289.33	661.87	475.76
PB.6961.1	1264	916	985	912
PB.6962.1	4285	1812	4813	5092
PB.6963.1	500	197	2162	2282
PB.6964.1	1324.67	772.58	1018.16	906.87
PB.6964.2	4166.33	1903.42	6138.84	5917.13
PB.6965.1	430	299	280	281
PB.6966.1	2243.14	809.85	2021.92	1852.12
PB.6966.2	152.86	59.15	115.08	118.88
PB.6967.1	25.18	48.18	33.86	105.7
PB.6967.2	878.82	569.82	2041.14	1912.3
PB.6968.1	4064.92	2153.44	1002.47	938.77
PB.6968.2	991.68	504.91	316.99	312.86
PB.6968.3	267.4	189.65	293.54	260.37
PB.6969.1	21573.06	8627.19	6335.17	6746.82
PB.6969.2	339.94	218.81	158.83	194.18
PB.697.1	33191	14754	19044	20685
PB.6970.1	1486	996	825	713
PB.6971.1	7643.72	6222.64	3599.42	3572.28
PB.6971.2	290.28	253.36	106.58	54.72
PB.6972.1	2381	1546	2197	1775
PB.6973.1	2461.15	1356.19	895.75	703.8
PB.6973.2	3583.95	2284.84	1471.69	1368.94
PB.6973.3	3016.53	2516.96	1265.56	1559.26
PB.6974.1	479	386	335	271
PB.6975.1	9084.19	7663.64	13859.37	11385.56
PB.6975.2	488.81	763.36	718.63	861.44
PB.6976.1	253	224	202	193
PB.6977.1	662	626	1257	1221
PB.6978.1	29.26	37.01	29.45	37.51
PB.6978.2	12587.74	6057.99	3508.55	3200.49
PB.6979.1	1941.13	2249.13	1930.65	1815.33
PB.6979.2	2360.95	1538.59	1324.33	1164.47
PB.6979.3	126.92	101.28	73.02	198.2
PB.698.1	10642.66	5690.24	5774.63	5345.91
PB.698.2	93.36	40.68	103.46	101.05
PB.698.3	528.46	365.96	211.52	378.55
PB.698.4	176.12	204.41	127.51	37.69
PB.698.5	46.39	53.58	19.95	27.28
PB.698.6	7036.68	4107.16	1755.87	2511.39
PB.698.7	379.35	366.97	1100.06	1286.13
PB.6980.1	16949.92	13231.56	10569.11	9796.75
PB.6980.2	250.09	134.44	176.89	130.25
PB.6981.1	1068.25	819.28	530.91	594.06
PB.6981.2	3047.75	2601.72	2482.09	2020.94
PB.6982.1	1889	1435	1733	1799
PB.6983.1	0	3	1283	1649
PB.6984.1	1267.79	606.96	567.05	529.65
PB.6984.2	6403.22	2527.04	1804.95	1527.35
PB.6985.1	7697.36	6491.84	7746.19	7954.09
PB.6985.2	636.33	458.66	710.31	492.09
PB.6985.3	3068.09	1749.25	2705.18	2086.86
PB.6985.4	539.23	663.72	247.86	359.7
PB.6985.5	4506.89	2354.01	2120.7	1595.96
PB.6986.1	5.12	4.51	6.75	7.3
PB.6987.1	674	625	237	241
PB.6988.1	2512	1777	1561	1641
PB.6989.1	289	17	307	309
PB.699.1	1649.48	783.34	503.95	574.38
PB.699.2	30.79	53.31	51.4	39.28
PB.699.3	5488.73	3885.35	1887.65	1806.34
PB.6990.1	1288	822	547	489
PB.6991.1	95.48	17.51	658.47	500.74
PB.6991.2	150.53	49.49	1725.53	1690.26
PB.6992.1	1548.3	700.06	1257.81	1063.42
PB.6992.2	4457.06	2942.88	8101.89	7804.92
PB.6992.3	29.7	34.45	86.81	59.8
PB.6992.4	44.86	77.33	198.33	121.03
PB.6993.1	6415.76	4445.65	3268.91	3137.36
PB.6993.2	3381.51	2792.52	1354.56	1287.21
PB.6993.3	3957.11	3262.25	1429.75	1060.29
PB.6993.4	614.7	764.86	1097.95	900.97
PB.6994.1	118	79	83	72
PB.6995.1	872	518	397	377
PB.6996.1	15043.57	9136.92	9939.62	9777.75
PB.6996.2	505.91	108.81	293.32	163.97
PB.6996.3	3776.48	2553.77	5321.66	5056.5
PB.6996.4	2966.03	1704.5	1616.4	1291.78
PB.6997.1	1789	1122	1120	1072
PB.6998.1	11550.25	5888.44	10842.06	9277.01
PB.6998.2	865.66	650.72	435.27	531.56
PB.6998.3	904.23	704.93	586.16	306.31
PB.6998.4	873.86	584.92	1170.51	1489.12
PB.6999.1	5044.94	4732.32	1753.82	1742.67
PB.7.1	1865	1338	2334	2006
PB.70.1	1270	1146	460	424
PB.700.1	1525	1609	1008	1070
PB.7000.1	382.06	152.8	73.18	89.33
PB.7001.1	54	26	721	687
PB.7002.1	330.92	187.63	201.05	123.11
PB.7002.2	1381.08	862.37	788.96	647.89
PB.7003.1	354	216	505	513
PB.7004.1	28.01	12.93	56.68	35.19
PB.7004.2	11815.99	7615.07	6221.32	5428.81
PB.7005.1	1067	460	1219	1009
PB.7006.1	8619.25	6674.45	10318.94	9853.53
PB.7006.2	691.75	673.55	594.06	586.47
PB.7007.1	508	377	232	205
PB.7008.1	3617.48	2008.2	2393.88	2183.09
PB.7008.2	31633.52	20241.8	12245.12	11590.91
PB.7009.1	334	116	1102	1082
PB.701.1	151471	89558	64161	70115
PB.7010.1	3190	2204	3782	3987
PB.7011.1	363	202	89	121
PB.7012.1	4147	2878	232	278
PB.7013.1	24	25	44	29
PB.7014.1	13507.39	7869.87	11071.58	11924.29
PB.7014.2	92.61	10.13	105.42	96.71
PB.7015.1	730	514	1063	1002
PB.7016.1	345	135	593	581
PB.7017.1	9314	5095	3405	3154
PB.7018.1	21858.26	11533.33	14286.69	14492.6
PB.7018.2	39042.74	18134.67	29061.31	28961.4
PB.7019.1	27125	18918	31481	32113
PB.702.1	16757	9045	5976	6427
PB.7020.1	179	54	1924	1941
PB.7021.1	3085.59	2516.51	2669.65	1178.8
PB.7021.2	6456.25	4134.45	4609.02	5452.65
PB.7021.3	1620.16	1095.91	605.79	855.08
PB.7021.4	456.99	71.13	313.54	225.48
PB.7022.1	1544.38	985.57	1474.44	1392.56
PB.7022.2	1590.62	1174.43	559.56	704.44
PB.7023.1	1901.43	757.66	2388.28	2158.22
PB.7023.2	257.57	191.34	460.73	599.78
PB.7024.1	2508	1174	3658	2884
PB.7025.1	12744.17	9761.32	5233.06	4791.41
PB.7025.2	193.81	76.85	74.93	64.02
PB.7025.3	588.85	760.16	562.52	599.36
PB.7025.4	10458.27	3617.48	3390.04	3139.45
PB.7025.5	2467.9	1446.19	569.44	919.77
PB.7026.1	746	115	3686	3445
PB.7027.1	2082	1714	2431	2288
PB.7028.1	70013	38875	48953	52780
PB.7029.1	477.07	423.63	676.41	656.95
PB.7029.2	185.61	273.67	499.73	319.18
PB.7029.3	620.32	272.7	546.86	645.87
PB.703.1	2142.02	1260.19	1462.63	1148.24
PB.703.2	488.98	301.81	416.37	303.76
PB.7030.1	36771	32611	64721	73110
PB.7031.1	810	587	398	353
PB.7032.1	3527.51	2295.25	1458.85	1440.99
PB.7032.2	389.49	447.75	258.15	168.01
PB.7033.1	1567.95	526.52	189.06	207.4
PB.7033.2	262.88	362.59	210.82	276.52
PB.7033.3	1204.72	472.98	322.03	273.1
PB.7033.4	966.43	483.47	143.65	127.42
PB.7033.5	16.18	7.91	13.73	8.64
PB.7033.6	3354.69	932.56	482.28	380.77
PB.7033.7	13.62	19.89	65.74	17.5
PB.7033.8	1578.53	617.08	232.68	243.65
PB.7034.1	1646.47	1167.51	362.87	210.78
PB.7034.2	1340.54	1214.41	1221.31	1312.05
PB.7034.3	158.47	505.26	62.51	39.69
PB.7034.4	1567.52	252.82	258.31	472.49
PB.7035.1	5888	2272	1580	1392
PB.7036.1	889	510	567	432
PB.7037.1	1203	549	980	940
PB.7038.1	923	727	453	444
PB.7039.1	1566	732	747	541
PB.704.1	1771	1448	5380	5208
PB.7040.1	927	532	536	407
PB.7041.1	947	752	695	737
PB.7042.1	14376	10646	13393	12294
PB.7043.1	165.75	141.94	504.71	416.13
PB.7043.2	76.25	78.06	464.29	323.87
PB.7044.1	1690.2	741.9	1252.23	1629.55
PB.7044.2	1208.8	1076.1	1041.77	690.45
PB.7045.1	1113	896	105	83
PB.7046.1	203.35	114.11	701.52	260.77
PB.7046.2	3398.58	2408.18	1332.93	1232.98
PB.7046.3	1611.88	567.09	862.38	860.63
PB.7046.4	673.2	865.62	250.17	681.63
PB.7047.1	1066.26	891.05	3498.58	3600.47
PB.7048.1	4753.09	2902.26	2747.79	2807.93
PB.7048.2	675.52	540.15	526.2	413.62
PB.7048.3	683.39	514.59	1830	1704.45
PB.7049.1	2674.03	1538.73	1468.82	1311.53
PB.705.1	294.72	176.52	150.68	130.96
PB.705.2	14749.04	11436.31	14316.42	12958.6
PB.705.3	5010.38	3297.07	3678.45	3271.67
PB.705.4	660.7	418.06	516.86	327.77
PB.705.5	43.16	55.05	127.6	67
PB.7050.1	1075.97	723.27	774.18	799.47
PB.7051.1	43.32	57.54	103.58	83.47
PB.7051.2	71.68	24.46	308.42	315.53
PB.7052.1	1469	1422	1732	1326
PB.7053.1	1681	1417	1886	1710
PB.7054.1	2196	1473	691	622
PB.7055.1	959	700	274	292
PB.7056.1	3701	2072	2533	2370
PB.7057.1	3084.53	2369.33	2637.93	2353.03
PB.7057.2	759.28	261.63	354.68	517.83
PB.7057.3	99.19	147.04	152.39	134.14
PB.7058.1	2	7	15	24
PB.7059.1	3083	2314	2055	1824
PB.706.1	1168	568	486	399
PB.7060.1	4788	2969	3484	2909
PB.7061.1	428	357	254	241
PB.7062.1	4984	1423	1716	1672
PB.7063.1	960	690	499	532
PB.7064.1	232	171	3877	3485
PB.7065.1	2609	1846	1625	1475
PB.7066.1	340	355	131	156
PB.7067.1	340	360	157	174
PB.7068.1	1011	532	1022	908
PB.7069.1	196.48	77.47	110.6	173.06
PB.7069.2	5367.76	4715.43	9465.09	7669.34
PB.7069.3	8281.77	5556.1	5104.3	5099.6
PB.707.1	186138.17	98941.53	80290.67	75885.48
PB.707.10	793.9	675	481.33	533.83
PB.707.2	181.32	38.93	184.84	166.58
PB.707.3	31.51	22.62	14.56	20.36
PB.707.4	112.84	58.74	29.72	37.05
PB.707.5	42.53	77.2	322.13	266.35
PB.707.6	4090.83	2722.66	2318.02	1440.57
PB.707.7	19.63	19.87	36.51	58.6
PB.707.8	63.3	112.8	50.2	58.12
PB.707.9	485.97	169.65	263.02	370.06
PB.7070.1	919.19	652.6	558.07	521.2
PB.7070.2	19.63	19.68	47.22	28.84
PB.7070.3	397.69	283.5	807.98	742.18
PB.7070.4	23	53.21	11.35	11.9
PB.7071.1	1570.47	922.7	1245.86	956.21
