NSC	NSC	OLD	OLD
PB.1150.1	242.01	79.05	77.22	129.46
PB.1151.1	380	359	282	229
PB.1152.1	5282.78	1924.02	3290	3052.99
PB.1152.2	192.22	145.98	996	867.01
PB.1153.1	5968	3158	3655	3313
PB.1154.1	1525	1036	994	757
PB.1155.1	578	303	441	348
PB.1156.1	41051.99	22894.53	18785.2	18862.33
PB.1156.2	326.01	155.47	787.8	667.67
PB.1157.1	2636.01	1939.09	2785	2516.28
PB.1157.2	2052	1725.36	1411.54	1565.98
PB.1157.3	121.99	88.55	91.46	77.74
PB.1158.1	10599	6252	10770	10682
PB.1159.1	715	370	299	303
PB.116.1	66.79	21.62	127.15	61.9
PB.116.2	474.53	358.54	447.28	308.58
PB.116.3	16.16	6.83	14.59	19.43
PB.116.4	985.54	581	1558.36	1269.44
PB.116.5	1898.99	413.01	1375.63	1501.66
PB.1160.1	6698	5269	3744	4011
PB.1161.1	5453	4116	368	340
PB.1162.1	2564.91	1886.79	12922.21	14335.24
PB.1162.2	22474.49	13035.43	36111.97	36420.49
PB.1162.3	1544.34	614.67	3578.3	3447.15
PB.1162.4	36478.25	20503.12	68077.52	89405.12
PB.1163.1	13940.25	8100.55	10518.9	10155.17
PB.1163.2	465.1	330.61	1640.75	1789.5
PB.1163.3	146.98	225.74	307.07	62.87
PB.1163.4	52.67	39.1	44.29	85.47
PB.1164.1	5912	4431	7814	8157
PB.1165.1	484.78	393.28	547.99	404.22
PB.1165.2	5069.25	4482.73	2995.62	2712.5
PB.1165.3	535.97	279.99	398.39	277.27
PB.1166.1	1283.08	847.53	1015.46	631.47
PB.1166.2	1384.92	900.47	1307.55	1374.53
PB.1167.1	12492.75	5760.87	5950.79	5842.94
PB.1167.2	2756.87	1138.54	183.14	909.88
PB.1167.3	16474.08	7260.79	8973.82	7813.04
PB.1167.4	267.29	253.8	191.25	175.14
PB.1168.1	3451	2076	2653	2429
PB.1169.1	21728	10059	3195	3137
PB.117.1	717	290	794	692
PB.1170.1	115.75	224.4	169.38	165.98
PB.1171.1	452.25	238.6	109.62	49.02
PB.1172.1	579.73	333	204.38	132
PB.1173.1	1437	793	1248	1016
PB.1174.1	22	39	857	930
PB.1175.1	2195.26	480.77	1960.21	969.42
PB.1175.2	20.74	9.36	10.93	9.29
PB.1175.3	433.79	375.78	481.97	324.1
PB.1175.4	687.24	1133.77	911.26	605.05
PB.1175.5	2836.47	1077.18	4124.82	2460.36
PB.1175.6	693.49	268.14	371.8	748.76
PB.1176.1	1023	2726	470	404
PB.1177.1	664	588	738	680
PB.1178.1	5629	4097	2795	2362
PB.1179.1	92.92	95.52	124.87	121.1
PB.1179.2	292.08	197.48	294.13	251.9
PB.118.1	1127.33	598.08	742.41	629.93
PB.118.2	946.67	537.92	576.59	426.07
PB.1180.1	1393.36	1146.76	1290.26	1107.47
PB.1180.2	1091.64	453.24	281.74	370.53
PB.1181.1	491	390	1427	1235
PB.1182.1	590	480	349	345
PB.1183.1	3140	2010	3666	2849
PB.1184.1	1849.55	2851.21	935.35	539.36
PB.1184.2	11953.07	10522.15	5874.36	5357.74
PB.1184.3	5240.05	5576.1	1183.58	1046.09
PB.1184.4	264.33	158.53	105.72	75.81
PB.1185.1	2921.59	2546.82	2041.1	1888.76
PB.1185.2	23027.92	15514.41	14526.08	14636.4
