pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.2579.1	15	29	31.5	2.61423328024e-05	5.05418434179e-05	5.48988988849e-05
PB.2579.2	1	1	3.0	1.74282218682e-06	1.74282218682e-06	5.22846656047e-06
PB.3657.1	0	3	3	0.0	5.22846656047e-06	5.22846656047e-06
PB.4661.2	0	1	3.5	0.0	1.74282218682e-06	6.09987765388e-06
PB.4661.1	18	29	31.5	3.13707993628e-05	5.05418434179e-05	5.48988988849e-05
PB.1039.1	0	0	0.166666666667	0.0	0.0	2.90470364471e-07
PB.1039.2	1	6	10.8666666667	1.74282218682e-06	1.04569331209e-05	1.89386677635e-05
PB.1039.3	1	1	1.5	1.74282218682e-06	1.74282218682e-06	2.61423328024e-06
PB.1039.4	11	12	16.0333333333	1.91710440551e-05	2.09138662419e-05	2.79432490621e-05
PB.1039.5	0	0	1.03333333333	0.0	0.0	1.80091625972e-06
PB.1039.6	0	0	1.7	0.0	0.0	2.9627977176e-06
PB.1039.7	0	0	1.7	0.0	0.0	2.9627977176e-06
PB.287.3	0	4	4	0.0	6.97128874729e-06	6.97128874729e-06
PB.287.2	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.287.1	0	1	1	0.0	1.74282218682e-06	1.74282218682e-06
PB.4696.3	26	30	39.6666666667	4.53133768574e-05	5.22846656047e-05	6.9131946744e-05
PB.2114.1	8	8	10.5	1.39425774946e-05	1.39425774946e-05	1.82996329616e-05
PB.7582.1	22	30	30.5	3.83420881101e-05	5.22846656047e-05	5.31560766981e-05
PB.7582.3	0	4	4	0.0	6.97128874729e-06	6.97128874729e-06
PB.6555.1	4	7	7.5	6.97128874729e-06	1.21997553078e-05	1.30711664012e-05
PB.5387.1	3	6	6	5.22846656047e-06	1.04569331209e-05	1.04569331209e-05
PB.116.5	1	1	1.91666666667	1.74282218682e-06	1.74282218682e-06	3.34040919141e-06
PB.6226.1	3	7	7	5.22846656047e-06	1.21997553078e-05	1.21997553078e-05
PB.2730.1	24	65	70.0	4.18277324838e-05	0.000113283442144	0.000121997553078
PB.6333.1	2	4	5.5	3.48564437365e-06	6.97128874729e-06	9.58552202753e-06
PB.959.1	0	4	4.61666666667	0.0	6.97128874729e-06	8.04602909584e-06
PB.4766.1	1	2	5.16666666667	1.74282218682e-06	3.48564437365e-06	9.00458129859e-06
PB.1025.1	0	2	2	0.0	3.48564437365e-06	3.48564437365e-06
PB.2009.1	3	8	12.0	5.22846656047e-06	1.39425774946e-05	2.09138662419e-05
PB.6903.1	1	2	3.5	1.74282218682e-06	3.48564437365e-06	6.09987765388e-06
PB.414.1	2	2	2	3.48564437365e-06	3.48564437365e-06	3.48564437365e-06
PB.1418.1	2	4	4	3.48564437365e-06	6.97128874729e-06	6.97128874729e-06
PB.4800.1	2	6	6	3.48564437365e-06	1.04569331209e-05	1.04569331209e-05
PB.4568.1	2	2	2	3.48564437365e-06	3.48564437365e-06	3.48564437365e-06
PB.5920.1	3	4	4	5.22846656047e-06	6.97128874729e-06	6.97128874729e-06
PB.864.1	0	0	0.333333333333	0.0	0.0	5.80940728941e-07
PB.3289.4	2	4	15.55	3.48564437365e-06	6.97128874729e-06	2.71008850051e-05
PB.722.2	0	0	1.33333333333	0.0	0.0	2.32376291576e-06
PB.4788.1	38	56	56.5	6.62272430993e-05	9.75980424621e-05	9.84694535555e-05
PB.7717.1	2	17	17	3.48564437365e-06	2.9627977176e-05	2.9627977176e-05
PB.5980.6	0	0	3.06666666667	0.0	0.0	5.34465470626e-06
PB.6051.1	6	11	11.5	1.04569331209e-05	1.91710440551e-05	2.00424551485e-05
PB.5004.1	1	6	6	1.74282218682e-06	1.04569331209e-05	1.04569331209e-05
PB.5266.3	0	4	5.83333333333	0.0	6.97128874729e-06	1.01664627565e-05
PB.1829.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.2612.3	1	1	5.20833333333	1.74282218682e-06	1.74282218682e-06	9.07719888971e-06
PB.4346.3	1	1	2.0	1.74282218682e-06	1.74282218682e-06	3.48564437365e-06
PB.323.3	0	0	2.75	0.0	0.0	4.79276101376e-06
PB.3639.1	0	1	4.0	0.0	1.74282218682e-06	6.97128874729e-06
PB.1045.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.2238.1	3	4	4	5.22846656047e-06	6.97128874729e-06	6.97128874729e-06
PB.6037.2	0	0	1.5	0.0	0.0	2.61423328024e-06
PB.515.1	2	2	2	3.48564437365e-06	3.48564437365e-06	3.48564437365e-06
PB.3121.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.5082.1	22	34	39.3666666667	3.83420881101e-05	5.9255954352e-05	6.8609100088e-05
PB.4780.1	1	2	2	1.74282218682e-06	3.48564437365e-06	3.48564437365e-06
PB.5082.4	0	0	2.2	0.0	0.0	3.83420881101e-06
